metric,mean,std,n
accuracy,0.7416666666666667,0.06082797478962133,3
macro_f1,0.6513280951364583,0.02662778072348108,3
positive_precision,0.42513703055770447,0.05916451505642315,3
positive_recall,0.5768115942028985,0.14968987053536645,3
positive_f1,0.47742069617979377,0.01210114639098189,3
prevalence,0.20535714285714288,0.0,3
roc_auc,0.7503663898387885,0.0014062583175630079,3
pr_auc,0.4200599017682675,0.006934026954884369,3
bin_roc_auc,0.641532919324193,0.003793700806879985,3
bin_pr_auc,0.4165474643195224,0.01099618447665766,3
